"Procedure","TotalUsage","File","HitsInFile"
"GetUserRoleNamesList","0","",""
"GetUserRolesList","0","",""
"InsertMissingUsrUiSettings","0","",""
"Reload_md_operation_numbers_from_md_part_ids","0","",""
"Reload_md_part_ids_from_sequences","0","",""
"inv_inventory_Add_Item","1","Dao_Inventory.cs","1"
"inv_inventory_Fix_BatchNumbers","1","Dao_Inventory.cs","1"
"inv_inventory_Get_ByPartID","2","Dao_Inventory.cs","2"
"inv_inventory_Get_ByPartIDandOperation","1","Dao_Inventory.cs","1"
"inv_inventory_Get_ByUser","0","",""
"inv_inventory_Remove_Item","1","Dao_Inventory.cs","1"
"inv_inventory_Transfer_Part","1","Dao_Inventory.cs","1"
"inv_inventory_Transfer_Quantity","1","Dao_Inventory.cs","1"
"inv_transaction_Add","1","Dao_History.cs","1"
"log_changelog_Get_Current","1","Service_Timer_VersionChecker.cs","1"
"md_item_types_Add_ItemType","1","Dao_ItemType.cs","1"
"md_item_types_Delete_ByID","0","",""
"md_item_types_Delete_ByType","1","Dao_ItemType.cs","1"
"md_item_types_Get_All","2","Dao_ItemType.cs","1"
"md_item_types_Get_All","2","Helper_UI_ComboBoxes.cs","1"
"md_item_types_Update_ItemType","1","Dao_ItemType.cs","1"
"md_locations_Add_Location","1","Dao_Location.cs","1"
"md_locations_Delete_ByLocation","1","Dao_Location.cs","1"
"md_locations_Get_All","2","Dao_Location.cs","1"
"md_locations_Get_All","2","Helper_UI_ComboBoxes.cs","1"
"md_locations_Update_Location","1","Dao_Location.cs","1"
"md_operation_numbers_Add_Operation","1","Dao_Operation.cs","1"
"md_operation_numbers_Delete_ByOperation","1","Dao_Operation.cs","1"
"md_operation_numbers_Get_All","2","Dao_Operation.cs","1"
"md_operation_numbers_Get_All","2","Helper_UI_ComboBoxes.cs","1"
"md_operation_numbers_Update_Operation","1","Dao_Operation.cs","1"
"md_part_ids_Add_Part","1","Dao_Part.cs","1"
"md_part_ids_Delete_ByItemNumber","1","Dao_Part.cs","1"
"md_part_ids_Get_All","2","Dao_Part.cs","1"
"md_part_ids_Get_All","2","Helper_UI_ComboBoxes.cs","1"
"md_part_ids_Get_ByItemNumber","2","Dao_Part.cs","2"
"md_part_ids_Update_Part","1","Dao_Part.cs","1"
"migrate_user_roles_debug","0","",""
"sp_ReassignBatchNumbers","0","",""
"sys_last_10_transactions_Get_ByUser","1","Control_QuickButtons.cs","1"
"sys_roles_Get_ById","1","Dao_User.cs","1"
"sys_user_roles_Add","1","Dao_User.cs","1"
"sys_user_roles_Delete","1","Dao_User.cs","1"
"sys_user_roles_Update","2","Dao_User.cs","2"
"usr_ui_settings_Get","1","Dao_User.cs","1"
"usr_ui_settings_GetShortcutsJson","1","Dao_User.cs","1"
"usr_ui_settings_SetShortcutsJson","1","Dao_User.cs","1"
"usr_ui_settings_SetThemeJson","1","Dao_User.cs","1"
"usr_users_Add_User","1","Dao_User.cs","1"
"usr_users_Delete_User","1","Dao_User.cs","1"
"usr_users_Exists","1","Dao_User.cs","1"
"usr_users_Get_All","2","Dao_User.cs","1"
"usr_users_Get_All","2","Helper_UI_ComboBoxes.cs","1"
"usr_users_Get_ByUser","1","Dao_User.cs","1"
"usr_users_Update_User","1","Dao_User.cs","1"
